4,16,26,15,2,1,21,29,20,18,22159.0,6.683099999999998,4.124,0.5069100000000001,7.356000000000002
4,16,26,15,10,3,21,29,20,18,22128.0,3.6236000000000006,2.3687,0.2861,4.093
4,16,26,15,10,1,21,29,20,18,21946.0,6.588800000000001,4.228200000000001,0.5201500000000001,7.593000000000001
4,16,26,15,5,1,21,29,20,18,22159.0,6.7917,4.467199999999998,0.54343,7.9360000000000035
4,16,26,15,5,9,21,29,20,18,22006.0,6.768000000000001,4.229900000000001,0.52809,7.508000000000002
4,16,25,15,10,1,21,29,20,18,21975.0,6.716100000000002,4.376500000000002,0.5215300000000002,7.4879999999999995
4,16,26,19,10,1,21,29,20,18,22036.0,6.7471,4.1941999999999995,0.5125000000000001,7.409999999999999
4,16,26,15,10,1,21,29,20,18,22159.0,6.656000000000001,4.3269,0.5269799999999999,7.717000000000004
4,16,25,15,5,6,21,29,20,18,22036.0,6.9496,4.379899999999999,0.5395700000000002,7.657000000000001
4,16,25,19,2,7,21,29,20,18,22159.0,6.5597,4.1339999999999995,0.5159800000000001,7.641000000000005
4,16,25,19,10,9,21,29,20,18,22128.0,3.5465999999999998,2.3033,0.28153000000000006,4.1190000000000015
4,16,26,15,5,13,21,29,20,18,21884.0,6.7329000000000025,4.463099999999999,0.53809,7.857000000000002
4,16,26,19,5,11,21,29,20,18,21975.0,6.9033999999999995,4.322900000000001,0.5329200000000001,7.476000000000001
4,16,25,19,5,1,21,29,20,18,22220.0,6.9398,4.4256,0.5466800000000002,7.813000000000001
4,16,26,15,2,11,21,29,20,18,21946.0,6.616199999999998,4.2411,0.5265799999999998,7.489000000000002
4,16,25,15,2,9,21,29,20,18,22189.0,6.5469,4.1987,0.5075000000000002,7.328000000000001
4,16,25,19,5,7,21,29,20,18,21884.0,6.6718,4.2837000000000005,0.5166,7.649000000000001
4,16,26,19,5,7,21,29,20,18,22097.0,6.624400000000001,4.295900000000001,0.5242299999999998,7.489000000000003
4,16,26,19,2,13,21,29,20,18,21915.0,6.790499999999999,4.3229,0.5316600000000001,7.651999999999999
4,16,25,19,5,13,21,29,20,18,22067.0,6.735900000000001,4.3744,0.522,7.539000000000003
4,16,25,15,5,11,21,29,20,18,21975.0,6.7799000000000005,4.3828,0.53515,7.764000000000002
4,16,25,19,2,7,21,29,20,18,22128.0,3.480999999999999,2.255800000000001,0.27865000000000006,4.126000000000001
4,16,25,19,5,9,21,29,20,18,21946.0,6.640700000000001,4.334100000000001,0.52559,7.566000000000001
4,16,26,19,10,9,21,29,20,18,21915.0,6.3775999999999975,4.112500000000002,0.4994499999999999,7.323000000000001
4,16,25,15,5,9,21,29,20,18,22097.0,6.5898,4.2779,0.51933,7.456000000000001
4,16,25,15,2,1,21,29,20,18,22036.0,6.620399999999999,4.209499999999999,0.52206,7.531000000000004
4,16,25,19,10,3,21,29,20,18,21946.0,6.564299999999999,4.169599999999999,0.50931,7.2360000000000015
4,16,26,19,5,7,21,29,20,18,21915.0,6.708100000000002,4.315099999999999,0.5293500000000001,7.547000000000001
4,16,25,19,5,11,21,29,20,18,22128.0,3.6358,2.364299999999999,0.28805,4.142
4,16,26,19,5,9,21,29,20,18,22250.0,6.438299999999998,4.114199999999999,0.5067499999999999,7.385
4,16,26,15,2,3,21,29,20,18,22159.0,6.7612000000000005,4.364200000000002,0.53105,7.652000000000002
